5	all	jensen	max	4	0.668648345485
10	all	cos	man	8	0.668536174986
5	all	jensen	cos	4	0.668424004487
5	v	max	cos	2	0.66694214876
5	all	man	max	4	0.666292765003
5	all	cos	max	16	0.665424570912
15	all	cos	max	8	0.664946719013
15	all	euc	cos	16	0.66440831075
10	all	cos	max	8	0.664385866517
5	all	man	cos	4	0.663488502524
10	all	euc	cos	16	0.663166214995
5	all	cos	cos	8	0.662254627033
15	n	jensen	cos	8	0.660170293283
10	n	jensen	cos	8	0.659981078524
5	all	euc	cos	16	0.65977868112
15	all	euc	cos	8	0.659226023556
5	all	cos	euc	8	0.658553000561
15	n	jensen	euc	8	0.658088930937
10	n	jensen	euc	8	0.656575212867
5	all	cos	man	8	0.656421761077
15	all	jensen	max	2	0.656309590578
15	all	jensen	euc	2	0.655075715087
10	all	euc	cos	8	0.65462703309
15	all	man	man	2	0.654290521593
15	all	jensen	man	2	0.653841839596
10	n	jensen	man	8	0.653547776727
5	all	cos	max	8	0.652832305104
15	all	man	max	2	0.652271452608
5	n	jensen	cos	8	0.651844843898
15	all	cos	man	4	0.651710600112
15	all	cos	max	4	0.651486259114
15	all	cos	cos	4	0.651486259114
15	all	man	euc	2	0.651374088615
10	all	jensen	euc	2	0.651374088615
10	all	jensen	man	2	0.651037577117
15	all	cos	euc	4	0.65070106562
15	all	euc	euc	16	0.650519421861
10	all	jensen	max	2	0.650476724621
15	n	jensen	max	8	0.649763481552
10	n	jensen	max	8	0.649574266793
15	n	jensen	man	8	0.649195837275
10	all	euc	euc	16	0.648938572719
10	all	man	man	2	0.648345485137
10	all	man	euc	2	0.648233314638
10	all	cos	euc	4	0.648121144139
5	all	euc	cos	8	0.647896803141
10	all	man	max	2	0.647448121144
10	all	cos	cos	4	0.647448121144
10	all	cos	man	4	0.646999439148
5	n	jensen	euc	8	0.64692526017
10	all	cos	max	4	0.64666292765
15	n	man	euc	8	0.645222327342
15	all	euc	max	16	0.645212285456
10	all	euc	man	16	0.64509936766
5	n	man	cos	8	0.644654683065
10	all	euc	max	16	0.644647696477
15	n	man	cos	8	0.644465468307
15	all	euc	euc	8	0.644307347168
5	all	euc	euc	16	0.64374435411
10	all	euc	euc	8	0.643409983174
5	all	euc	man	16	0.643292682927
15	all	euc	man	16	0.642841011743
10	all	euc	max	8	0.642176107684
5	n	jensen	man	8	0.642005676443
10	n	man	euc	8	0.642005676443
15	n	man	man	8	0.641816461684
10	n	man	man	8	0.641816461684
15	all	euc	max	8	0.641727425687
10	all	euc	man	8	0.641054402692
5	n	jensen	max	8	0.640681173132
10	n	man	cos	8	0.640681173132
15	all	euc	cos	4	0.640381379697
5	n	man	euc	8	0.640302743614
15	all	euc	man	8	0.6400448682
5	all	cos	euc	4	0.639820527201
15	all	euc	max	4	0.639371845205
10	all	euc	euc	4	0.638810992709
10	n	man	max	8	0.638789025544
5	all	cos	man	4	0.638362310712
15	all	euc	euc	4	0.637801458216
5	all	jensen	max	2	0.637689287717
15	all	euc	man	4	0.637128435222
15	n	man	max	8	0.637086092715
5	all	euc	euc	8	0.636904094223
10	all	euc	man	4	0.63600673023
10	all	euc	cos	4	0.635894559731
15	all	cos	max	2	0.635445877734
5	all	jensen	euc	2	0.635333707235
5	all	jensen	man	2	0.634997195738
15	all	cos	euc	2	0.634885025238
10	all	euc	max	4	0.634885025238
5	all	cos	cos	4	0.63466068424
5	all	man	max	2	0.634548513741
5	all	euc	max	16	0.634259259259
15	all	cos	man	2	0.634099831744
5	n	man	max	8	0.634058656575
5	all	man	euc	2	0.633202467751
5	n	man	man	8	0.632923368023
5	all	euc	man	8	0.632753785754
5	all	cos	max	4	0.632305103758
10	all	cos	euc	2	0.632305103758
5	all	euc	max	8	0.632192933259
15	all	jensen	cos	2	0.632080762759
10	all	cos	man	2	0.631632080763
5	all	euc	cos	4	0.631071228267
5	all	man	man	2	0.630846887269
15	n	jensen	euc	4	0.6302743614
15	all	max	cos	16	0.629855465221
10	all	cos	max	2	0.628603477285
15	n	jensen	cos	4	0.628571428571
15	all	euc	man	2	0.628266965788
10	n	jensen	cos	4	0.627814569536
15	all	euc	euc	2	0.627257431296
15	all	max	euc	16	0.626580849142
15	n	jensen	man	4	0.626111636708
10	all	max	cos	16	0.625903342367
15	n	jensen	max	4	0.62573320719
10	all	max	euc	16	0.625451671183
5	all	euc	euc	4	0.625238362311
10	all	jensen	cos	2	0.625014021312
10	all	euc	euc	2	0.625014021312
5	all	euc	man	4	0.624901850813
10	all	euc	man	2	0.624565339316
15	all	euc	max	2	0.624340998317
15	all	max	man	16	0.624322493225
15	all	max	euc	8	0.62400448682
15	all	max	cos	8	0.623555804823
5	all	euc	max	4	0.622882781828
10	n	jensen	euc	4	0.62270577105
15	all	max	max	16	0.622628726287
15	n	man	man	4	0.622327341533
15	all	man	cos	2	0.621985417835
10	all	euc	max	2	0.621424565339
10	n	jensen	max	4	0.62119205298
15	n	man	euc	4	0.620813623463
10	n	man	man	4	0.620245979186
10	all	max	max	16	0.620031616983
15	all	max	max	8	0.619293325855
5	all	cos	man	2	0.619181155356
5	all	cos	euc	2	0.619068984857
15	all	max	man	8	0.618956814358
10	n	jensen	man	4	0.618921475875
15	n	man	cos	4	0.618543046358
10	all	max	cos	8	0.618283791363
10	all	max	euc	8	0.618059450365
10	n	man	euc	4	0.617975402081
10	all	max	max	8	0.617610768368
15	n	man	max	4	0.617596972564
5	all	cos	max	2	0.61738642737
15	all	max	euc	4	0.617049915872
10	all	max	man	16	0.616757000903
15	n	cos	man	8	0.616461684011
5	n	jensen	man	4	0.616083254494
15	all	cos	cos	2	0.615928210881
10	all	man	cos	2	0.615928210881
10	n	man	cos	4	0.615894039735
15	all	max	max	4	0.614806505889
10	all	max	man	8	0.614133482894
15	all	max	man	4	0.613460459899
5	n	jensen	euc	4	0.613434247871
15	n	cos	cos	8	0.613434247871
15	all	max	cos	4	0.6133482894
5	all	max	cos	16	0.613256549232
5	all	jensen	cos	2	0.612899607403
5	n	man	man	4	0.612677388836
5	n	jensen	cos	4	0.612677388836
10	all	cos	cos	2	0.612114413909
5	n	man	euc	4	0.61210974456
10	n	man	max	4	0.611731315043
10	n	cos	euc	8	0.611352885525
5	all	euc	euc	2	0.611329220415
10	n	cos	man	8	0.610974456008
15	n	cos	euc	8	0.610217596973
5	all	max	euc	16	0.609981933153
10	all	max	cos	4	0.609534492428
5	n	man	max	4	0.609460737938
5	all	euc	man	2	0.609197980931
5	n	jensen	max	4	0.608893093661
5	all	max	cos	8	0.608300616938
5	all	euc	max	2	0.607515423444
15	all	euc	cos	2	0.607515423444
10	all	max	max	4	0.607178911946
5	all	max	euc	8	0.606954570948
10	n	cos	cos	8	0.606622516556
15	all	max	euc	2	0.606393718452
15	n	jensen	max	2	0.60605487228
15	n	cos	max	8	0.60605487228
5	all	max	max	16	0.605465221319
5	n	man	cos	4	0.605298013245
10	all	max	man	4	0.605159842961
15	all	max	max	2	0.605047672462
5	all	max	max	8	0.604935501963
10	all	max	euc	4	0.604823331464
15	all	max	man	2	0.604598990466
10	n	cos	max	8	0.604351939451
5	all	man	cos	2	0.604262478968
5	all	max	man	8	0.604150308469
5	n	cos	cos	8	0.603216650899
15	n	euc	cos	8	0.603216650899
15	n	jensen	euc	2	0.60302743614
10	all	euc	cos	2	0.602804262479
5	all	max	man	16	0.602642276423
5	all	cos	cos	2	0.602579921481
15	n	man	man	2	0.602081362346
15	n	jensen	man	2	0.601135288553
15	n	man	euc	2	0.599621570482
15	n	man	max	2	0.599432355724
10	all	max	max	2	0.598990465508
10	all	max	euc	2	0.598317442513
5	n	cos	euc	8	0.597540208136
10	n	euc	cos	8	0.597350993377
10	all	max	man	2	0.596634885025
10	n	man	euc	2	0.596404919584
10	n	jensen	max	2	0.596026490066
10	n	jensen	man	2	0.595837275307
15	n	cos	man	4	0.595269631031
5	all	max	euc	4	0.594840157039
5	all	max	cos	4	0.59461581604
5	n	cos	man	8	0.594512771996
10	n	man	man	2	0.594512771996
10	n	jensen	euc	2	0.594323557237
10	n	man	max	2	0.59394512772
15	n	cos	max	4	0.593188268685
15	n	cos	euc	4	0.592809839167
5	all	max	max	4	0.592372406057
5	all	max	man	4	0.592260235558
5	all	euc	cos	2	0.592260235558
5	n	cos	max	8	0.591674550615
15	n	cos	cos	4	0.591485335856
10	n	cos	man	4	0.589782403027
10	n	cos	euc	4	0.589593188269
5	n	euc	cos	8	0.588457899716
10	n	cos	cos	4	0.58789025544
15	n	euc	euc	8	0.587511825922
5	all	max	max	2	0.586876051598
10	n	euc	euc	8	0.586565752129
10	n	euc	man	8	0.585808893094
10	n	cos	max	4	0.585619678335
5	all	max	euc	2	0.585081323612
15	n	euc	man	8	0.584673604541
10	n	euc	max	8	0.584484389782
15	n	euc	max	8	0.583538315989
5	all	max	man	2	0.582277061133
5	n	jensen	max	2	0.58183538316
15	n	euc	cos	4	0.580510879849
5	n	euc	euc	8	0.579943235572
15	all	max	cos	2	0.579697139652
15	n	euc	man	4	0.579564806055
15	n	euc	max	4	0.578997161779
15	n	euc	euc	4	0.578240302744
5	n	cos	euc	4	0.577861873226
5	n	man	max	2	0.577483443709
5	n	jensen	man	2	0.577483443709
10	n	euc	euc	4	0.576915799432
5	n	jensen	euc	2	0.576726584674
10	all	max	cos	2	0.57599551318
5	n	cos	man	4	0.575969725639
15	n	cos	euc	2	0.57578051088
10	n	euc	man	4	0.57578051088
5	n	euc	man	8	0.575402081362
5	n	man	euc	2	0.574834437086
15	n	cos	man	2	0.574834437086
5	n	man	man	2	0.574456007569
5	n	euc	max	8	0.573509933775
15	n	jensen	cos	2	0.573509933775
5	n	cos	max	4	0.57275307474
15	n	cos	max	2	0.57275307474
10	n	euc	max	4	0.571996215705
5	n	cos	cos	4	0.571617786187
10	n	euc	cos	4	0.571428571429
5	n	euc	cos	4	0.570293282876
10	n	cos	man	2	0.570293282876
10	n	cos	euc	2	0.570293282876
5	n	euc	euc	4	0.567833491012
5	all	max	cos	2	0.567807066741
15	n	max	euc	8	0.566508987701
15	n	euc	man	2	0.566319772942
10	n	cos	max	2	0.566130558184
15	n	euc	euc	2	0.565373699149
10	n	jensen	cos	2	0.565373699149
5	n	euc	man	4	0.563859981079
15	n	max	man	8	0.56367076632
15	n	max	cos	8	0.56367076632
5	n	euc	max	4	0.562535477767
15	n	max	max	8	0.561967833491
15	n	euc	max	2	0.560832544939
10	n	euc	man	2	0.560454115421
15	n	man	cos	2	0.560075685904
10	n	max	euc	8	0.560075685904
10	n	euc	euc	2	0.559697256386
15	n	max	euc	4	0.55912961211
10	n	max	max	8	0.557426679281
15	n	max	max	4	0.554777672658
5	n	cos	euc	2	0.5545884579
10	n	max	cos	8	0.5545884579
10	n	max	man	8	0.554020813623
10	n	euc	max	2	0.554020813623
5	n	cos	man	2	0.552885525071
5	n	cos	max	2	0.552507095553
15	n	max	man	4	0.552317880795
10	n	man	cos	2	0.551939451277
5	n	jensen	cos	2	0.551371807001
15	n	max	cos	4	0.550993377483
15	n	cos	cos	2	0.549479659413
5	n	max	cos	8	0.547398297067
15	n	max	max	2	0.547398297067
10	n	max	man	4	0.545695364238
15	n	max	euc	2	0.54550614948
10	n	max	cos	4	0.54550614948
5	n	max	euc	8	0.545127719962
10	n	max	max	4	0.544560075686
5	n	max	max	8	0.544370860927
5	n	euc	man	2	0.544181646168
5	n	euc	euc	2	0.543803216651
15	n	max	man	2	0.543614001892
10	n	cos	cos	2	0.543614001892
10	n	max	euc	4	0.541911069063
5	n	max	man	8	0.541154210028
5	n	man	cos	2	0.54096499527
10	n	max	max	2	0.539262062441
15	n	euc	cos	2	0.53793755913
5	n	euc	max	2	0.537369914853
10	n	max	euc	2	0.536613055818
5	n	cos	cos	2	0.53642384106
10	n	max	man	2	0.534531693472
5	n	max	euc	4	0.533017975402
10	n	euc	cos	2	0.531693472091
5	n	max	man	4	0.531504257332
5	n	max	max	4	0.529422894986
5	n	max	cos	4	0.52734153264
5	n	max	max	2	0.526773888363
5	n	max	euc	2	0.52280037843
5	n	euc	cos	2	0.52128666036
5	n	max	man	2	0.519016083254
